Node Number =   5620
  289.26739374   42.17547907   -8.58300000
  289.29180845   42.19086606   12.24500000
  289.28980356   42.19030740    8.86000000
  289.28842012   42.18928349    6.32100000
  289.28749503   42.18845982    6.05400000
  289.28615803   42.18823738    4.93900000
  289.28544619   42.18767669    7.20800000
  289.28484229   42.18709581    7.91500000
  289.28409973   42.18659079    7.40500000
  289.28340213   42.18620842    6.54300000
  289.28275164   42.18583798    6.42100000
  289.28197437   42.18543091    4.41200000
  289.28113578   42.18539431    2.63600000
  289.28065515   42.18507007   -4.58000000
  289.28089144   42.18469617   -4.12600000
  289.28038764   42.18442534   -3.84600000
  289.28011103   42.18416455   -3.73100000
  289.27977482   42.18390421   -3.66000000
  289.27966018   42.18344630   -3.74400000
  289.27909630   42.18314467   -3.41700000
  289.27866395   42.18280414   -3.20700000
  289.27862575   42.18232729   -4.83600000
  289.27794664   42.18229678   -2.37800000
  289.27745799   42.18254474   -3.63300000
  289.27684793   42.18240357   -3.02500000
  289.27619204   42.18214036   -2.90400000
  289.27524472   42.18201683   -4.47400000
  289.27406451   42.18187874  -10.17300000
  289.27293378   42.18189483  -11.40100000
  289.27199212   42.18133653  -13.89800000
  289.27084340   42.18050004  -12.65100000
  289.26930998   42.17972564   -8.79300000
  289.26749399   42.17874528   -6.44100000
  289.26605990   42.17803955   -4.62200000
  289.29360637   42.19213496   14.03000000
  289.29377972   42.19338990   14.94800000
  289.29195378   42.20105746    9.78100000
  289.29183162   42.20020673    9.10900000
  289.29272438   42.19979097    9.74600000
  289.29272484   42.19884875   10.96300000
  289.29270143   42.19768908   12.03100000
  289.29249554   42.19645308   13.98500000
  289.29222993   42.19538847   13.34100000
  289.29199311   42.19433850   14.74700000
  289.29141220   42.20252992    8.21900000
  289.29159577   42.20177081   10.06100000
  289.29052717   42.20433808    5.84000000
  289.29093154   42.20342633    6.60900000
  289.28994026   42.20517730    6.30700000
  289.28635408   42.21030427    6.53600000
  289.28697412   42.20930291    6.21500000
  289.28803328   42.20808985    5.65600000
  289.28863558   42.20701602    5.95100000
  289.28914644   42.20578384    6.79700000
  289.28553781   42.21157071    7.65700000
  289.28260969   42.21264646    7.58600000
  289.28356767   42.21166613    7.13900000
  289.27789314   42.21294784    3.20600000
  289.27972381   42.21341704    5.38000000
  289.28100565   42.21224593    6.15000000
  289.27447516   42.21360400    4.17700000
  289.27588683   42.21257018    3.93300000
  289.27121747   42.21393202    7.01700000
  289.27244966   42.21337689   12.05400000
  289.26540586   42.21515363    3.67800000
  289.26626871   42.21482209    4.02000000
  289.26728465   42.21429953    5.82500000
  289.26870328   42.21438665    6.78200000
  289.27023105   42.21445808   12.74300000
  289.26302424   42.21696672    1.39900000
  289.26350177   42.21652525    1.78200000
  289.26385644   42.21600753    1.80200000
  289.26414907   42.21552013    1.77800000
  289.26458405   42.21509374    1.77500000
  289.26096872   42.21716498   -6.23000000
  289.26146723   42.21739577   -6.99000000
  289.26186758   42.21690179   -6.48000000
  289.26238994   42.21693805    0.12800000
  289.25824611   42.21791879   -3.10800000
  289.25881669   42.21763805   -3.10800000
  289.25938726   42.21735731   -4.27800000
  289.25992875   42.21714575   -5.82300000
  289.26047023   42.21693419   -6.57600000
  289.25654605   42.21780627   -4.54700000
  289.25738360   42.21760341   -4.89600000
  289.25393988   42.21731552   -6.85200000
  289.25488213   42.21758317   -3.68500000
  289.25569546   42.21744637   -6.25600000
  289.25384107   42.21368322  -15.18500000
  289.25414539   42.21510363  -11.33800000
  289.25438358   42.21607625   -8.19800000
  289.25385119   42.21668307   -8.45500000
  289.25218224   42.21235660  -13.66600000
  289.29155116   42.19221620   13.00800000
  289.29034917   42.19120128   11.30500000
